Funder Group,Member Name
Council of New Jersey Grantmakers,New Jersey Bankers Charitable Foundation
Council of New Jersey Grantmakers,New Jersey Children's Foundation
Council of New Jersey Grantmakers,New Jersey Community Capital
Council of New Jersey Grantmakers,New Jersey Council for the Humanities
Council of New Jersey Grantmakers,New Jersey Health Initiatives of RWJF
Council of New Jersey Grantmakers,New Jersey Historic Trust
Council of New Jersey Grantmakers,New Jersey Historical Commission
Council of New Jersey Grantmakers,New Jersey Natural Gas Charity Inc.
Council of New Jersey Grantmakers,New Jersey State Council on the Arts
Council of New Jersey Grantmakers,Newark Arts
Council of New Jersey Grantmakers,Newark Trust for Education
Council of New Jersey Grantmakers,NJM Insurance Group
Council of New Jersey Grantmakers,"Audible, Inc."
Council of New Jersey Grantmakers,Northern New Jersey Community Foundation
Council of New Jersey Grantmakers,Novartis Corporation
Council of New Jersey Grantmakers,OceanFirst Foundation
Council of New Jersey Grantmakers,"Panasonic Foundation, Inc."
Council of New Jersey Grantmakers,Partners for Health Foundation
Council of New Jersey Grantmakers,"PNC Financial Services Group, Inc."
Council of New Jersey Grantmakers,Princeton Area Community Foundation
Council of New Jersey Grantmakers,Prudential Foundation
Council of New Jersey Grantmakers,PSEG Foundation
Council of New Jersey Grantmakers,Bank of America
Council of New Jersey Grantmakers,Regional Foundation LLC
Council of New Jersey Grantmakers,Reitman Foundation
Council of New Jersey Grantmakers,Reshmi & Mahmood Siddique Foundation
Council of New Jersey Grantmakers,Rita Allen Foundation
Council of New Jersey Grantmakers,Robert Wood Johnson Foundation
Council of New Jersey Grantmakers,RWJBarnabas Health System
Council of New Jersey Grantmakers,Salem Health & Wellness Foundation
Council of New Jersey Grantmakers,Sanofi U.S.
Council of New Jersey Grantmakers,Save The Music Foundation
Council of New Jersey Grantmakers,Schumann Fund for New Jersey
Council of New Jersey Grantmakers,"Six Talents Foundation, Inc."
Council of New Jersey Grantmakers,Sixers Youth Foundation
Council of New Jersey Grantmakers,Smith Family Foundation
Council of New Jersey Grantmakers,Becton Dickinson
Council of New Jersey Grantmakers,Standish Foundation
Council of New Jersey Grantmakers,Stone Foundation of New Jersey
Council of New Jersey Grantmakers,"Subaru of America Foundation, Inc."
Council of New Jersey Grantmakers,Tata Consultancy Services
Council of New Jersey Grantmakers,TD Bank
Council of New Jersey Grantmakers,The Atlantic Foundation
Council of New Jersey Grantmakers,The Burke Foundation
Council of New Jersey Grantmakers,"The Chad School Foundation, Inc."
Council of New Jersey Grantmakers,The Charlotte W. Newcombe Foundation
Council of New Jersey Grantmakers,The Community Chest of Eastern Bergen County
Council of New Jersey Grantmakers,The Curtis W. McGraw Foundation
Council of New Jersey Grantmakers,The Dâ€šÃ„Ã´Arcangelo and Dippold Family Fund
Council of New Jersey Grantmakers,The Fred C. Rummel Foundation
Council of New Jersey Grantmakers,The Fund for New Jersey
Council of New Jersey Grantmakers,"The Healey Education Foundation, Inc."
Council of New Jersey Grantmakers,The Healthcare Foundation of New Jersey
Council of New Jersey Grantmakers,The Henry and Marilyn Taub Foundation
Council of New Jersey Grantmakers,The Henry S. and Agnes M. Truzack Foundation
Council of New Jersey Grantmakers,The Hyde and Watson Foundation
Council of New Jersey Grantmakers,The JPMorgan Chase Foundation
Council of New Jersey Grantmakers,"The Leavens Foundation, Inc."
Council of New Jersey Grantmakers,Blanche & George Watts Mountainside Community Foundation
Council of New Jersey Grantmakers,The MCJ Amelior Foundation
Council of New Jersey Grantmakers,The Merck Foundation
Council of New Jersey Grantmakers,The Merrill G. & Emita E. Hastings Foundation
Council of New Jersey Grantmakers,The Mimi Washington Starrett Foundation
Council of New Jersey Grantmakers,The Montclair Foundation
Council of New Jersey Grantmakers,The New Jersey Cultural Trust
Council of New Jersey Grantmakers,The Provident Bank Foundation
Council of New Jersey Grantmakers,The Russell Berrie Foundation
Council of New Jersey Grantmakers,The Summit Foundation
Council of New Jersey Grantmakers,The Union Foundation
Council of New Jersey Grantmakers,The Westfield Foundation
Council of New Jersey Grantmakers,Thomas and Margaret Healey Family Foundation
Council of New Jersey Grantmakers,Turrell Fund
Council of New Jersey Grantmakers,United Way of Central Jersey
Council of New Jersey Grantmakers,United Way of Delaware
Council of New Jersey Grantmakers,United Way of Greater Mercer County
Council of New Jersey Grantmakers,United Way of Greater Newark
Council of New Jersey Grantmakers,United Way of Monmouth & Ocean Counties
Council of New Jersey Grantmakers,United Way of Passaic County
Council of New Jersey Grantmakers,Valley National Bank
Council of New Jersey Grantmakers,Veolia
Council of New Jersey Grantmakers,Victoria Foundation
Council of New Jersey Grantmakers,William Penn Foundation
Council of New Jersey Grantmakers,Bristol-Myers Squibb Foundation
Council of New Jersey Grantmakers,Campbell Soup Foundation
Council of New Jersey Grantmakers,Charles Edison Fund
Council of New Jersey Grantmakers,Charles Emil Thenen Foundation
Council of New Jersey Grantmakers,Citi
Council on Foundations,3 Rivers Community Foundation
Council on Foundations,"Clark Hill, P.L.C."
Council on Foundations,"Cleveland H. Dodge Foundation, Inc."
Council on Foundations,CME Group Foundation
Council on Foundations,Alamance Community Foundation
Council on Foundations,Coastal Bend Community Foundation
Council on Foundations,Coleman Talley LLP
Council on Foundations,Collaboratory
Council on Foundations,Colorado Health Foundation
Council on Foundations,Columbus Community Foundation Inc.
Council on Foundations,Comerica Charitable Foundation
Council on Foundations,"Commonwealth Charitable Management, Inc."
Council on Foundations,"Communities of Coastal Georgia Foundation, Inc."
Council on Foundations,Community Chest of New Britain and Berlin Inc. Fund
Council on Foundations,Community First Foundation
Council on Foundations,Community Foundation for a Better Bigfork
Council on Foundations,Community Foundation for a greater Richmond
Council on Foundations,"Community Foundation for Brevard, Inc."
Council on Foundations,Community Foundation for Greater Buffalo
Council on Foundations,Community Foundation for Loudoun & Northern Fauquier Counties
Council on Foundations,Community Foundation for McHenry County
Council on Foundations,Community Foundation for Mississippi
Council on Foundations,Community Foundation for Monterey County
Council on Foundations,Community Foundation for Nantucket
Council on Foundations,Community Foundation For Palm Beach & Martin Counties
Council on Foundations,Community Foundation for San Benito County
Council on Foundations,Community Foundation for South Central New York
Council on Foundations,Community Foundation for Southeast Michigan
Council on Foundations,Community Foundation for Southern Arizona
Council on Foundations,Community Foundation for Southwest Washington
Council on Foundations,Community Foundation for the Alleghenies
Council on Foundations,Community Foundation for the Greater Capital Region
Council on Foundations,Community Foundation for the Land of Lincoln
Council on Foundations,Community Foundation for the Ohio Valley
Council on Foundations,"Community Foundation for the Twin Tiers, Inc."
Council on Foundations,Community Foundation for Western Iowa
Council on Foundations,Community Foundation of Abilene
Council on Foundations,Community Foundation of Acadiana
Council on Foundations,Community Foundation of Anne Arundel County
Council on Foundations,"Community Foundation of Brazoria County, Texas"
Council on Foundations,"Community Foundation of Broward, Inc."
Council on Foundations,Community Foundation of Burke County
Council on Foundations,Albert Kunstadter Family Foundation
Council on Foundations,Community Foundation of Cedar County
Council on Foundations,Community Foundation of Central Georgia
Council on Foundations,Community Foundation of Central Missouri
Council on Foundations,Community Foundation of Central Wisconsin
Council on Foundations,"Community Foundation of Chippewa County, Inc."
Council on Foundations,Community Foundation of Collier County
Council on Foundations,"Community Foundation of Dunn County, Inc."
Council on Foundations,Community Foundation of Dutchess County
Council on Foundations,Community Foundation of Fayette County
Council on Foundations,3M
Council on Foundations,Community Foundation of Fort Valley
Council on Foundations,Community Foundation of Greater Des Moines
Council on Foundations,Community Foundation of Greater Dubuque
Council on Foundations,COMMUNITY FOUNDATION OF GREATER FLINT
Council on Foundations,Community Foundation of Greater Greensboro Inc.
Council on Foundations,Albuquerque Community Foundation
Council on Foundations,Community Foundation of Greater Muscatine
Council on Foundations,Community Foundation of Greater New Britain
Council on Foundations,"Community Foundation of Greene County, PA"
Council on Foundations,Community Foundation of Greenville
Council on Foundations,Community Foundation of Grundy County
Council on Foundations,"Community Foundation of Henderson County, Inc."
Council on Foundations,Community Foundation of Howard County (MD)
Council on Foundations,Community Foundation of Jackson County
Council on Foundations,Community Foundation of Jackson Hole
Council on Foundations,Community Foundation of Johnson County (IA)
Council on Foundations,Community Foundation of Louisville
Council on Foundations,Community Foundation of North Central Florida
Council on Foundations,Community Foundation of North Central Massachusetts
Council on Foundations,Community Foundation of North Central Wisconsin
Council on Foundations,"Community Foundation of North Florida, Inc."
Council on Foundations,Community Foundation of Northern Illinois
Council on Foundations,Community Foundation of Orange and Sullivan
Council on Foundations,Community Foundation of Otsego County
Council on Foundations,Community Foundation of Putnam County
Council on Foundations,Community Foundation of Rockland County
Council on Foundations,Community Foundation of San Carlos
Council on Foundations,Community Foundation of Singapore
Council on Foundations,"Community Foundation of South Central Wisconsin, Inc."
Council on Foundations,Community Foundation of South Lake County
Council on Foundations,Community Foundation of South Puget Sound
Council on Foundations,Community Foundation of Southeast Kansas
Council on Foundations,Community Foundation of Southern New Mexico
Council on Foundations,Community Foundation of Southwest Louisiana
Council on Foundations,COMMUNITY FOUNDATION OF ST. CLAIR COUNTY
Council on Foundations,Community Foundation of Teton Valley
Council on Foundations,Community Foundation of the Brazos Valley
Council on Foundations,"Community Foundation of the Eastern Shore, Inc."
Council on Foundations,Alexion Charitable Foundation
Council on Foundations,Community Foundation of the Fox River Valley
Council on Foundations,Community Foundation of the Gunnison Valley
Council on Foundations,"Community Foundation of the Lowcountry, Inc."
Council on Foundations,Community Foundation of the New River Valley
Council on Foundations,Community Foundation of the Ozarks
Council on Foundations,"Community Foundation of the Texas Hill Country, Inc."
Council on Foundations,Community Foundation of the Virgin Islands
Council on Foundations,"Community Foundation of the Virginias, Inc."
Council on Foundations,Community Foundation of Ulster County
Council on Foundations,Community Foundation of Upper St. Clair
Council on Foundations,"Community Foundation of Washington County Maryland, Inc."
Council on Foundations,Community Foundation of Western North Carolina
Council on Foundations,Community Foundation of Westmoreland County
Council on Foundations,Community Foundation Serving West Central Illinois & Northeast Missouri
Council on Foundations,Community Foundation White County Indiana
Council on Foundations,Community Foundations of the Hudson Valley
Council on Foundations,Community Giving Foundation
Council on Foundations,Alisann and Terry Collins Foundation
Council on Foundations,"Community Trust Foundation, Inc."
Council on Foundations,CommunityGiving
Council on Foundations,Con Alma Health Foundation
Council on Foundations,Connecticut Community Foundation
Council on Foundations,Connecticut Health Foundation
Council on Foundations,Conrad N. Hilton Foundation
Council on Foundations,Cool Effect
Council on Foundations,COOPERSVILLE AREA COMMUNITY FOUNDATION
Council on Foundations,Coral Gables Community Foundation
Council on Foundations,Council Grove Area Foundation
Council on Foundations,Council of Michigan Foundations
Council on Foundations,Craig H. Neilsen Foundation
Council on Foundations,Crawford Heritage Community Foundation
Council on Foundations,CS Fund
Council on Foundations,Culbertson Area Community Foundation
Council on Foundations,"Cumberland Community Foundation, Inc."
Council on Foundations,CUNA Mutual Group Foundation
Council on Foundations,Darby Town Endowment Fund
Council on Foundations,David and Lucile Packard Foundation
Council on Foundations,"Davie Community Foundation, Inc."
Council on Foundations,de Beaumont Foundation
Council on Foundations,Dean & Margaret Lesher Foundation
Council on Foundations,Decatur Memorial Foundation
Council on Foundations,DeKalb County Community Foundation
Council on Foundations,Delaware Community Foundation
Council on Foundations,Denver African American Philanthropists
Council on Foundations,Derby Community Foundation
Council on Foundations,"Alpern Family Foundation, Inc."
Council on Foundations,Dillsburg Area Foundation
Council on Foundations,Don and Sybil Harrington Foundation
Council on Foundations,Doris Duke Charitable Foundation
Council on Foundations,Dorothy A. Johnson Center for Philanthropy
Council on Foundations,Altman Foundation
Council on Foundations,Duke Endowment
Council on Foundations,Duluth Superior Area Community Foundation
Council on Foundations,Duplin County Community Foundation
Council on Foundations,"Earl C. Sams Foundation, Inc."
Council on Foundations,East Bay Community Foundation
Council on Foundations,East Grand Rapids Community Foundation Fund
Council on Foundations,Amador Community Foundation
Council on Foundations,East Montgomery County Scholarship Foundation
Council on Foundations,East Texas Communities Foundation
Council on Foundations,Eastern Carolina Community Foundation
Council on Foundations,Eastern West Virginia Community Foundation
Council on Foundations,Eastman Chemical Company
Council on Foundations,Eau Claire Community Foundation
Council on Foundations,eBay Foundation
Council on Foundations,Amarillo Area Foundation
Council on Foundations,Eden Hall Foundation
Council on Foundations,Editha House Foundation
Council on Foundations,Edward H. Daveis Benevolent Fund
Council on Foundations,Edwardsville Community Foundation
Council on Foundations,Einhorn Collaborative
Council on Foundations,El Paso Community Foundation
Council on Foundations,El-Hibri Foundation
Council on Foundations,Elevance Health Foundation
Council on Foundations,5 Branches Consulting
Council on Foundations,"Emergency Assistance Foundation, Inc."
Council on Foundations,Emerging Practitioners in Philanthropy
Council on Foundations,Empowering Adair County Foundation
Council on Foundations,Energy Foundation
Council on Foundations,Ensworth Charitable Foundation
Council on Foundations,Entrepreneurs Foundation
Council on Foundations,Environmental and Energy Study Institute
Council on Foundations,Episcopal Community Foundation for Middle and North Georgia
Council on Foundations,Equal Measure
Council on Foundations,"Equinix, Inc."
Council on Foundations,Erie Community Foundation
Council on Foundations,Erie County Community Foundation
Council on Foundations,Evanston Community Foundation
Council on Foundations,Eveleth Area Community Foundation Fund
Council on Foundations,"Evelyn & Walter Haas, Jr. Fund"
Council on Foundations,Evergreen Social Impact
Council on Foundations,"Everyday Democracy, Inc."
Council on Foundations,Ewing Marion Kauffman Foundation
Council on Foundations,Excellerate Foundation
Council on Foundations,Faegre Drinker Foundation
Council on Foundations,FAIR Community Foundation of Northern Rosebud County
Council on Foundations,Family Endeavors Foundation
Council on Foundations,Family Foundation of Southwest Louisiana
Council on Foundations,Family Health International Foundation
Council on Foundations,Fargo-Moorhead Area Foundation
Council on Foundations,Fayette Community Foundation
Council on Foundations,"Felix E. Martin, Jr. Foundation"
Council on Foundations,FESAC Nogales
Council on Foundations,Fetzer Institute
Council on Foundations,"FHL Foundation, Inc."
Council on Foundations,Fidelity Foundation
Council on Foundations,Fieldstead Charitable Trust
Council on Foundations,Fifth Third Foundation
Council on Foundations,Findlay-Hancock County Community Foundation
Council on Foundations,"American Tower Charitable Foundation, Inc."
Council on Foundations,First Community Foundation Partnership of Pennsylvania
Council on Foundations,First Five Years Fund
Council on Foundations,Florida Blue Foundation
Council on Foundations,Fond du Lac Area Foundation
Council on Foundations,Fondation Eddy Mesidor pour le Developpement (FEMED)
Council on Foundations,Ford Foundation
Council on Foundations,Ford Foundation Mexico
Council on Foundations,Fort Dodge Community Foundation
Council on Foundations,Foundation for a Healthy Kentucky
Council on Foundations,Foundation for a Healthy St. Petersburg
Council on Foundations,Foundation for a Smoke-Free World
Council on Foundations,Foundation for Appalachian Ohio
Council on Foundations,Foundation for Southeast Texas
Council on Foundations,Foundation For the Flint Cultural Center
Council on Foundations,"Foundation for the Tri-State Community, Inc."
Council on Foundations,Foundation Source
Council on Foundations,"Foundations of East Chicago, Inc."
Council on Foundations,"Founders Pledge, Inc."
Council on Foundations,Franklin County Foundation
Council on Foundations,Fred Harris Daniels Foundation
Council on Foundations,Fremont Area Community Foundation (MI)
Council on Foundations,Fremont Area Community Foundation (NE)
Council on Foundations,Fresenius Medical Care Foundation Inc.
Council on Foundations,Friends of Fondation de France
Council on Foundations,Frist Foundation
Council on Foundations,Anaheim Community Foundation
Council on Foundations,FSG
Council on Foundations,Full Circle Foundation Limited
Council on Foundations,Fundaciâˆšâ‰¥n Avina
Council on Foundations,Fundaciâˆšâ‰¥n Gonzalo Râˆšâ‰ o Arronte
Council on Foundations,Anchorum St. Vincent
Council on Foundations,Galesburg Community Foundation
Council on Foundations,"Anderson-Rogers Foundation, Inc."
Council on Foundations,Gardner Howland Shaw Foundation
Council on Foundations,Gaston Community Foundation
Council on Foundations,Gatinais Foundation
Council on Foundations,Geller & Company
Council on Foundations,General Mills
Council on Foundations,George Gund Foundation
Council on Foundations,"Andy Warhol Foundation for the Visual Arts, Inc."
Council on Foundations,GGS Foundation
Council on Foundations,Gilroy Foundation
Council on Foundations,GitLab Foundation
Council on Foundations,Give2Asia
Council on Foundations,GiveWell Community Foundation
Council on Foundations,Glenmede
Council on Foundations,Global Fund for Children
Council on Foundations,GlobalGiving
Council on Foundations,Ann Arbor Area Community Foundation
Council on Foundations,Golden Belt Community Foundation
Council on Foundations,Goodwill Community Foundation
Council on Foundations,Goodwin Procter LLP
Council on Foundations,Gore Family Memorial Foundation Trust
Council on Foundations,Gorge Community Foundation
Council on Foundations,GRAND HAVEN AREA COMMUNITY FOUNDATION
Council on Foundations,Grand Rapids Area Community Foundation (MN)
Council on Foundations,Grand Rapids Community Foundation
Council on Foundations,Anne Ray Charitable Trust
Council on Foundations,Grays Harbor Community Foundation
Council on Foundations,Great Falls Area Community Foundation
Council on Foundations,Great Good LLC
Council on Foundations,Great Public Schools Now
Council on Foundations,Greater Alliance Foundation
Council on Foundations,Greater Cincinnati Foundation
Council on Foundations,Annie E. Casey Foundation
Council on Foundations,"Greater Grand Island Community Foundation, Inc."
Council on Foundations,Greater Kansas City Community Foundation
Council on Foundations,Greater Madison County Community Foundation
Council on Foundations,Greater Milwaukee Foundation
Council on Foundations,Greater New Orleans Foundation
Council on Foundations,Greater Northwest Kansas Community Foundation
Council on Foundations,Greater Pike Community Foundation
Council on Foundations,Greater Pinebelt Community Foundation
Council on Foundations,Greater Polson Community Foundation
Council on Foundations,Greater Salina Community Foundation
Council on Foundations,Greater Texas Foundation
Council on Foundations,Greater Toledo Community Foundation
Council on Foundations,Greater Worcester Community Foundation
Council on Foundations,Green River Area Community Foundation
Council on Foundations,Greenwall Foundation
Council on Foundations,A Step 2 Success (aka The Aarsand Family Foundation)
Council on Foundations,Growald Climate Fund
Council on Foundations,Gulf Coast Community Foundation
Council on Foundations,Gulf Coast Fund For Community Renewal and Ecological Health
Council on Foundations,GVR Foundation
Council on Foundations,Hampton Roads Community Foundation
Council on Foundations,AON Foundation
Council on Foundations,Hardin County Community Foundation
Council on Foundations,Harris and Frances Block Foundation
Council on Foundations,Harry and Masie Masto Foundation
Council on Foundations,Hartford Foundation for Public Giving
Council on Foundations,"HasNa, Inc."
Council on Foundations,Hattie M. Strong Foundation
Council on Foundations,HDR Foundation
Council on Foundations,Health Foundation of South Florida
Council on Foundations,Healthcare Foundation of La Porte
Council on Foundations,Healthcare Foundation of New Jersey
Council on Foundations,A. Alfred Taubman Foundation
Council on Foundations,Healthy Americas Foundation
Council on Foundations,Healthy Communities Foundation
Council on Foundations,Heising-Simons Foundation
Council on Foundations,Helmsley Charitable Trust
Council on Foundations,Hermantown Community Fund
Council on Foundations,Hibel Family Foundation
Council on Foundations,High Foundation
Council on Foundations,Arabella Advisors
Council on Foundations,High Point Community Foundation
Council on Foundations,Hill County Community Endowment
Council on Foundations,Hilton Fund For Sisters
Council on Foundations,Hispanics in Philanthropy
Council on Foundations,Hmong American Partnership
Council on Foundations,Hoblitzelle Foundation
Council on Foundations,Honda USA Foundation
Council on Foundations,Hopi Foundation
Council on Foundations,Horizon Community Funds of Northern Kentucky
Council on Foundations,HP Foundation
Council on Foundations,Hudson Community Foundation
Council on Foundations,Hudson-Webber Foundation
Council on Foundations,Hughes Charitable Foundation
Council on Foundations,Humana Foundation
Council on Foundations,Humanity United
Council on Foundations,Humboldt Area Foundation
Council on Foundations,Hunterdon Youth Services
Council on Foundations,Iacocca Family Foundation
Council on Foundations,Iberia Parish Endowment Fund
Council on Foundations,Idaho Community Foundation
Council on Foundations,Ideal Industries Foundation
Council on Foundations,IEHP Foundation
Council on Foundations,Arctic Slope Community Foundation
Council on Foundations,Ignite Philanthropy
Council on Foundations,Illinois Prairie Community Foundation
Council on Foundations,Impact Cubed
Council on Foundations,Incourage
Council on Foundations,Incredible Children's Art Network (ICAN)
Council on Foundations,ARH Foundation for Healthier Communities
Council on Foundations,Indiana Philanthropy Alliance
Council on Foundations,Inland Empire Community Foundation
Council on Foundations,Innovia Foundation
Council on Foundations,Arizona Community Foundation
Council on Foundations,Intermountain Community Care Foundation
Council on Foundations,International Funders for Indigenous Peoples
Council on Foundations,Arizona Community Foundation of Yuma
Council on Foundations,Internet Society Foundation
Council on Foundations,"Investure, LLC"
Council on Foundations,Ionia County Community Foundation
Council on Foundations,Arizona Foundation for Women Inc.
Council on Foundations,J.C. Kennedy Foundation
Council on Foundations,Jack and Jill of America Foundation
Council on Foundations,Jacqueline Marie Leaffer Foundation
Council on Foundations,James S. McDonnell Foundation
Council on Foundations,"Arkansas Community Foundation, Inc."
Council on Foundations,Janie Dean Charitable Foundation
Council on Foundations,"JCCF, Inc."
Council on Foundations,Jefferson Valley Community Foundation
Council on Foundations,"Jerome Foundation, Inc."
Council on Foundations,Jessie Ball duPont Fund
Council on Foundations,Arlington Community Foundation
Council on Foundations,A. Lindsay and Olive B. O'Connor Foundation
Council on Foundations,Arlington Tomorrow Foundation
Council on Foundations,Jihoon Rim Foundation
Council on Foundations,Jim Joseph Foundation
Council on Foundations,John Diane Simpson Family Foundation
Council on Foundations,John Mohme Foundation
Council on Foundations,John Rex Endowment
Council on Foundations,Arnold & Winnie Palmer Foundation
Council on Foundations,John Templeton Foundation
Council on Foundations,Johnstone Vance Memorial Fund
Council on Foundations,Joliet Area (MT) Community Foundation
Council on Foundations,Joliet Area Community Foundation
Council on Foundations,Arnold Ventures
Council on Foundations,Joseph Drown Foundation
Council on Foundations,JPMorgan Chase & Co.
Council on Foundations,JRS Biodiversity Foundation
Council on Foundations,Kaiser Permanente
Council on Foundations,Kalamazoo Community Foundation
Council on Foundations,Kalick Law LLC
Council on Foundations,Kalliopeia Foundation
Council on Foundations,Kansas Association of Community Foundations
Council on Foundations,Kansas Health Foundation
Council on Foundations,Karuna Foundation
Council on Foundations,Kearney Area Community Foundation
Council on Foundations,Kei S. Tolliver Law LLC
Council on Foundations,Kenneth Rainin Foundation
Council on Foundations,Kenosha Community Foundation
Council on Foundations,Kettering Foundation
Council on Foundations,Key Biscayne Community Foundation
Council on Foundations,King Baudouin Foundation US
Council on Foundations,Kingsley Foundation
Council on Foundations,Kirkpatrick Family Fund
Council on Foundations,Klingenstein Third Generation Foundation
Council on Foundations,Knight Foundation
Council on Foundations,KPMG US Foundation
Council on Foundations,1002 Foundation
Council on Foundations,Kulas Foundation
Council on Foundations,Arthur M. Blank Family Foundation
Council on Foundations,La Caixa Banking Foundation
Council on Foundations,La Crosse Community Foundation
Council on Foundations,LAKE COUNTY COMMUNITY FOUNDATION
Council on Foundations,Lake County Reserve Sheriff Unit
Council on Foundations,Lancaster County Community Foundation
Council on Foundations,Arthur W. Perdue Foundation
Council on Foundations,Lathrop GPM Foundation
Council on Foundations,Latino Community Foundation
Council on Foundations,"Laura B. Vogler Foundation, Inc."
Council on Foundations,Laurens County Community Foundation
Council on Foundations,Law Hesselbaum LLP
Council on Foundations,League of California Community Foundations
Council on Foundations,Learning to Give
Council on Foundations,Legacy Endowment -The Community Foundation
Council on Foundations,Lehigh Valley Community Foundation
Council on Foundations,Lenawee Community Foundation
Council on Foundations,Lenoir County Community Foundation
Council on Foundations,LFT Family Foundation
Council on Foundations,Lighthouse Global Consulting
Council on Foundations,Lilly Endowment Inc.
Council on Foundations,"Lincoln Community Foundation, Inc. (NE)"
Council on Foundations,Lincoln County Community Foundation
Council on Foundations,Lincoln Valley Community Foundation
Council on Foundations,Livonia Community Foundation
Council on Foundations,Lloyd A. Fry Foundation
Council on Foundations,LOCUS Impact Investing
Council on Foundations,Lois and Lucy Lampkin Foundation
Council on Foundations,Long Beach Community Foundation
Council on Foundations,Long Island Community Foundation
Council on Foundations,Longmont Community Foundation
Council on Foundations,Longview Chamber of Commerce Education Foundation Inc.
Council on Foundations,"Longwood Foundation, Inc."
Council on Foundations,Los Alamos Community Foundation
Council on Foundations,Los Altos Community Foundation
Council on Foundations,Los Angeles Dodgers Foundation
Council on Foundations,Louisiana Lions League for Crippled Children Foundation
Council on Foundations,Louisiana National Guard Foundation
Council on Foundations,Louisiana Parks Foundation
Council on Foundations,Louisiana Real Estate Foundation
Council on Foundations,Lowell Area Community Fund
Council on Foundations,Luis von Ahn Foundation
Council on Foundations,Lumina Foundation
Council on Foundations,Luzerne Foundation
Council on Foundations,Lyndhurst Foundation
Council on Foundations,Macon County Community Foundation
Council on Foundations,Madison County Community Foundation
Council on Foundations,Main Street Community Foundation
Council on Foundations,Maine Community Foundation
Council on Foundations,Maine Community Supporting Foundation
Council on Foundations,Making a Difference Foundation
Council on Foundations,Malala Fund
Council on Foundations,Marcia Brady Tucker Foundation
Council on Foundations,Margaret A. Cargill Foundation
Council on Foundations,Marguerite Casey Foundation
Council on Foundations,Marietta K. Randall Foundation Trust
Council on Foundations,Marion A. and Ruth K. Sherwood Family Fund
